,Date,Open,High,Low,Close,Volume,Adj Close
96,2016-02-03,17850,17910,17520,17650,1104675,17650
97,2016-02-02,18120,18320,18120,18200,524535,18200
98,2016-02-01,18300,18370,18150,18320,869125,18320
99,2016-01-29,17530,18200,17170,18020,1637608,18020
100,2016-01-28,17490,17680,17370,17490,504175,17490
101,2016-01-27,17470,17690,17390,17580,603091,17580
102,2016-01-26,17240,17270,17070,17130,447995,17130
103,2016-01-25,17600,17660,17350,17540,1039740,17540
104,2016-01-22,17030,17430,16880,17400,986948,17400
105,2016-01-21,16900,17170,16430,16450,1495886,16450
106,2016-01-20,17470,17470,16810,16870,1398928,16870
107,2016-01-19,17340,17530,17240,17500,809454,17500
108,2016-01-18,17230,17480,17090,17390,1186794,17390
109,2016-01-15,17970,18060,17500,17590,713343,17590
110,2016-01-14,17670,17730,17380,17700,1315911,17700
111,2016-01-13,17910,18180,17910,18180,460840,18180
112,2016-01-12,17900,18020,17640,17700,1257628,17700
113,2016-01-08,18100,18450,18000,18190,1294538,18190
114,2016-01-07,18610,18650,18230,18230,1654689,18230
115,2016-01-06,18870,18950,18530,18670,1399603,18670
116,2016-01-05,18870,19030,18800,18850,755490,18850
117,2016-01-04,19300,19440,18860,18950,1610477,18950
118,2015-12-30,19580,19600,19510,19520,171196,19520
119,2015-12-29,19350,19480,19270,19470,260390,19470
120,2015-12-28,19320,19420,19240,19370,202537,19370
121,2015-12-25,19300,19350,19200,19210,163300,19210
122,2015-12-24,19570,19580,19250,19270,292440,19270
123,2015-12-22,19390,19420,19290,19370,334004,19370
124,2015-12-21,19330,19460,19110,19420,632204,19420
125,2015-12-18,19810,20390,19450,19500,1383089,19500
126,2015-12-17,19900,19990,19790,19840,578704,19840
127,2015-12-16,19370,19530,19340,19510,408807,19510
128,2015-12-15,19350,19370,19030,19070,604049,19070
129,2015-12-14,19240,19380,19060,19360,1087551,19360
130,2015-12-11,19520,19770,19490,19690,329510,19690
131,2015-12-10,19550,19610,19500,19510,612091,19510
132,2015-12-09,19870,19960,19730,19790,510819,19790
133,2015-12-08,20210,20260,19960,19990,215946,19990
134,2015-12-07,20220,20300,20150,20180,307459,20180
135,2015-12-04,20080,20140,19930,20000,783666,20000
136,2015-12-03,20370,20460,20340,20430,364343,20430
137,2015-12-02,20430,20480,20410,20430,249947,20430
138,2015-12-01,20320,20470,20290,20460,237674,20460
139,2015-11-30,20350,20370,20180,20230,230798,20230
140,2015-11-27,20480,20490,20310,20360,223283,20360
141,2015-11-26,20420,20480,20410,20420,521868,20420
142,2015-11-25,20340,20360,20270,20330,346102,20330
143,2015-11-24,20370,20440,20320,20410,414859,20410
144,2015-11-20,20300,20340,20200,20340,475115,20340
145,2015-11-19,20360,20450,20250,20340,764220,20340
146,2015-11-18,20240,20330,20130,20140,672644,20140
147,2015-11-17,20150,20210,20110,20130,464194,20130
148,2015-11-16,19720,19930,19700,19850,360210,19850
149,2015-11-13,19990,20090,19860,20060,504540,20060
150,2015-11-12,20110,20210,20080,20180,410042,20180
151,2015-11-11,20090,20210,20080,20180,536571,20180
152,2015-11-10,19920,20170,19910,20140,384794,20140
153,2015-11-09,19880,20180,19880,20110,1426183,20110
154,2015-11-06,19660,19770,19640,19730,598409,19730
155,2015-11-05,19490,19640,19460,19580,481979,19580
156,2015-11-04,19490,19620,19380,19390,510328,19390
157,2015-11-02,19290,19330,19100,19150,507949,19150
158,2015-10-30,19380,19680,19240,19550,918012,19550
159,2015-10-29,19530,19550,19270,19390,442203,19390
160,2015-10-28,19300,19400,19280,19370,166495,19370
161,2015-10-27,19420,19430,19220,19230,278490,19230
162,2015-10-26,19520,19560,19390,19390,717796,19390
163,2015-10-23,19300,19380,19270,19300,947623,19300
164,2015-10-22,18870,19030,18820,18900,230922,18900
165,2015-10-21,18630,19070,18620,19000,390895,19000
166,2015-10-20,18710,18720,18600,18660,149799,18660
167,2015-10-19,18750,18770,18530,18610,542868,18610
168,2015-10-16,18730,18850,18680,18730,322848,18730
169,2015-10-15,18250,18630,18190,18510,384708,18510
170,2015-10-14,18570,18580,18280,18350,513017,18350
171,2015-10-13,18780,18820,18680,18730,364992,18730
172,2015-10-09,18630,18900,18630,18870,401359,18870
173,2015-10-08,18750,18860,18570,18590,394008,18590
174,2015-10-07,18610,18820,18480,18800,439977,18800
175,2015-10-06,18800,18820,18540,18560,459366,18560
176,2015-10-05,18380,18520,18310,18450,403804,18450
177,2015-10-02,18010,18210,17960,18160,280976,18160
178,2015-10-01,17930,18270,17820,18170,576376,18170
179,2015-09-30,17660,17890,17600,17770,826580,17770
180,2015-09-29,17820,17820,17330,17370,1788290,17370
181,2015-09-28,18250,18280,17990,18130,401323,18130
182,2015-09-25,17940,18200,17810,18200,748839,18200
183,2015-09-24,18060,18160,17930,17940,544083,17940
184,2015-09-18,18630,18630,18390,18460,542289,18460
185,2015-09-17,18720,18810,18630,18760,280272,18760
186,2015-09-16,18580,18640,18430,18530,506139,18530
187,2015-09-15,18410,18660,18300,18340,492732,18340
188,2015-09-14,18690,18690,18230,18310,399828,18310
189,2015-09-11,18430,18690,18420,18600,443162,18600
190,2015-09-10,18440,18650,18270,18640,694587,18640
191,2015-09-09,18350,19070,18320,19050,1407670,19050
192,2015-09-08,18260,18310,17740,17740,823211,17740
193,2015-09-07,18010,18350,17800,18190,683627,18190
194,2015-09-04,18620,18650,17920,18130,1480695,18130
195,2015-09-03,18730,18830,18510,18530,431611,18530
196,2015-09-02,18230,18830,18180,18450,1312709,18450
197,2015-09-01,19090,19120,18550,18560,1130322,18560
198,2015-08-31,19370,19380,19100,19230,711692,19230
199,2015-08-28,19360,19560,19290,19480,637365,19480
200,2015-08-27,19060,19160,18830,18900,748852,18900
201,2015-08-26,18150,18780,18060,18710,1811029,18710
202,2015-08-25,18320,19190,18080,18180,2199094,18180
203,2015-08-24,19420,19470,18830,18940,1935480,18940
204,2015-08-21,20010,20080,19790,19820,2141854,19820
205,2015-08-20,20570,20620,20400,20410,733287,20410
206,2015-08-19,20850,20880,20570,20580,422832,20580
207,2015-08-18,21000,21030,20910,20910,112131,20910
208,2015-08-17,20950,21040,20890,20970,109026,20970
209,2015-08-14,20870,20970,20840,20890,182276,20890
210,2015-08-13,20760,21000,20650,20960,646546,20960
211,2015-08-12,21000,21060,20650,20760,1031936,20760
212,2015-08-11,21260,21310,20930,21080,680801,21080
213,2015-08-10,20990,21170,20970,21150,257453,21150
214,2015-08-07,21000,21110,20930,21090,202881,21090
215,2015-08-06,21130,21180,21020,21020,642037,21020
216,2015-08-05,20850,21080,20830,20990,299331,20990
217,2015-08-04,20800,20910,20800,20860,366901,20860
218,2015-08-03,20890,20920,20760,20900,165802,20900
219,2015-07-31,20870,20940,20830,20930,387388,20930
220,2015-07-30,20820,20950,20820,20900,325438,20900
221,2015-07-29,20680,20700,20570,20650,212792,20650
222,2015-07-28,20520,20800,20430,20710,444497,20710
223,2015-07-27,20740,20860,20640,20730,345556,20730
224,2015-07-24,20960,21000,20890,20900,219927,20900
225,2015-07-23,21040,21070,21020,21030,140584,21030
226,2015-07-22,21000,21040,20940,20970,304464,20970
227,2015-07-21,21120,21220,21090,21200,654336,21200
228,2015-07-17,21030,21030,20980,21010,366513,21010
229,2015-07-16,20960,20980,20890,20970,532356,20970
230,2015-07-15,20830,20860,20770,20830,552699,20830
231,2015-07-14,20740,20810,20690,20730,866919,20730
232,2015-07-13,20320,20500,20280,20460,688913,20460
233,2015-07-10,20190,20350,20070,20170,1019773,20170
234,2015-07-09,19790,20210,19470,20210,1592894,20210
235,2015-07-08,20660,20690,20140,20140,1354203,20140
236,2015-07-07,20760,20810,20730,20760,346922,20760
237,2015-07-06,20560,20700,20390,20560,1293968,20560
238,2015-07-03,21080,21180,21040,21150,343372,21150
239,2015-07-02,21170,21220,21090,21130,319824,21130
240,2015-07-01,20910,20960,20850,20940,321558,20940
241,2015-06-30,20750,20860,20710,20850,426639,20850
242,2015-06-29,20770,20960,20680,20730,883900,20730
243,2015-06-26,21370,21400,21260,21320,362996,21320
244,2015-06-25,21380,21460,21350,21380,521218,21380
245,2015-06-24,21480,21560,21430,21480,732499,21480
246,2015-06-23,21120,21390,21120,21390,970397,21390
247,2015-06-22,20740,21020,20740,21010,356377,21010
248,2015-06-19,20740,20780,20650,20750,323549,20750
249,2015-06-18,20770,20790,20570,20580,698708,20580
250,2015-06-17,20890,20910,20710,20800,380800,20800
251,2015-06-16,20910,20950,20810,20850,217707,20850
252,2015-06-15,20800,20990,20800,20960,237942,20960
253,2015-06-12,21020,21030,20920,20990,294408,20990
254,2015-06-11,20760,20960,20760,20960,413144,20960
255,2015-06-10,20720,20850,20600,20630,817829,20630
256,2015-06-09,20900,20930,20690,20710,1268632,20710
257,2015-06-08,21130,21150,20950,21040,258575,21040
258,2015-06-05,21000,21070,20950,21050,241326,21050
259,2015-06-04,21160,21160,21020,21050,254365,21050
260,2015-06-03,21010,21100,20980,21060,386311,21060
261,2015-06-02,21190,21220,21050,21130,314707,21130
262,2015-06-01,21050,21190,20990,21160,382445,21160
263,2015-05-29,21090,21240,21080,21170,313110,21170
264,2015-05-28,21180,21250,21060,21140,577638,21140
265,2015-05-27,20950,21100,20940,21050,587789,21050
266,2015-05-26,21010,21050,20970,21050,428220,21050
267,2015-05-25,20920,21010,20900,20980,355693,20980
268,2015-05-22,20800,20870,20700,20850,245041,20850
269,2015-05-21,20800,20910,20750,20750,394677,20750
270,2015-05-20,20740,20860,20730,20780,667085,20780
271,2015-05-19,20550,20670,20510,20610,622640,20610
272,2015-05-18,20310,20460,20310,20450,288405,20450
273,2015-05-15,20280,20320,20190,20260,237398,20260
274,2015-05-14,20220,20290,20120,20150,311574,20150
275,2015-05-13,20130,20360,20060,20320,722548,20320
276,2015-05-12,20160,20200,20030,20180,356749,20180
277,2015-05-11,20220,20250,20150,20190,325895,20190
278,2015-05-08,19930,20020,19860,19970,393214,19970
279,2015-05-07,19920,20020,19820,19860,724603,19860
280,2015-05-01,20090,20120,19960,20080,563265,20080
281,2015-04-30,20350,20360,20060,20100,1481651,20100
282,2015-04-28,20650,20700,20590,20630,320064,20630
283,2015-04-27,20620,20620,20450,20530,345968,20530
284,2015-04-24,20680,20700,20560,20580,362832,20580
285,2015-04-23,20780,20810,20680,20760,407605,20760
286,2015-04-22,20550,20700,20530,20680,778851,20680
